Date,Close/Last,Volume,Open,High,Low
09/02/2022,360.45,4544223,367.95,369.13,358.78
09/01/2022,364.27,6126838,361.1,364.7,358.51
08/31/2022,363.15,4062539,367.61,368.79,363.11
08/30/2022,366.03,5044536,371.3,371.445,364.02
08/29/2022,370.05,4953159,369.77,373.05,368.78
08/26/2022,372.51,5153160,385.55,386.05,372.51
08/25/2022,385.73,2631290,381.76,385.73,380.7
08/24/2022,380.19,2241245,378.9,381.58,378.18
08/23/2022,379.04,2869184,379.56,381.87,378.5233
08/22/2022,379.94,4153718,383.43,383.54,379.09
08/19/2022,388.12,2899030,390.7,390.95,387.25
08/18/2022,393.55,3258081,392.42,394.02,391.17
08/17/2022,392.34,3222325,391.56,394.85,390.2931
08/16/2022,395.04,3864849,393.24,396.89,392.44
08/15/2022,394.35,3203933,390.49,394.76,390.46
08/12/2022,392.67,3664357,387.95,392.72,387.09
08/11/2022,386.06,3575370,388.87,390.65,385.4
08/10/2022,386.06,3650992,384.99,386.23,383.1
08/09/2022,378.14,2360524,379.02,379.41,377.1
08/08/2022,379.64,3455348,381.78,383.9068,378.57
08/05/2022,379.98,2852090,376.65,380.7,376.54
08/04/2022,380.77,3410631,380.88,381.53,379.19
08/03/2022,381.07,3854779,377.19,382.1,376.91
08/02/2022,375.21,4132588,376.11,379.627,373.95
08/01/2022,377.65,4421369,376.12,380.01,375.44
07/29/2022,378.79,5246413,374.73,379.66,373.93
07/28/2022,373.32,4345335,369.42,373.91,365.98
07/27/2022,368.66,4500264,362.49,370.33,362.2205
07/26/2022,359.25,2987190,362.12,362.21,358.4501
07/25/2022,363.61,3902230,363.84,364.44,361.45
07/22/2022,363.25,4533862,366.69,367.84,361.01
07/21/2022,366.59,4603979,362.36,366.62,360.01
07/20/2022,362.92,4270636,360.7,364.2399,359.45
07/19/2022,360.61,3620152,354.95,361.09,354.25
07/18/2022,351.08,3544880,356.97,357.62,349.92
07/15/2022,354.01,4520475,351.73,354.11,349.8
07/14/2022,347.44,4624840,343.41,347.95,341.045
07/13/2022,348.36,5603536,344.74,351,344.37
07/12/2022,349.99,4080271,352.6,354.9,348.38
07/11/2022,353.25,3491695,354.84,355.57,352.51
07/08/2022,357.29,4791341,355.906,359.05,354.471
07/07/2022,357.5,3737478,354.01,358.3,354
07/06/2022,352.33,5450928,351.23,354.68,348.93
